                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.46715,                0.24639,                0.88602,                0.98593,                0.97623,                0.99042,                0.90882,                0.44401,                0.21986,                0.88639,               0.001189,               0.001189,               0.001189
                     92,                0.46432,                0.24254,                0.88452,                0.98603,                0.97613,                0.99044,                0.90917,                 0.4435,                0.21904,                0.88604,                0.00109,                0.00109,                0.00109
                     93,                0.45974,                0.23932,                0.88431,                0.98527,                0.97701,                0.99045,                0.90982,                0.44288,                0.21824,                0.88567,               0.000991,               0.000991,               0.000991
                     94,                0.45497,                0.23607,                0.87975,                0.98552,                0.97729,                0.99078,                0.91029,                0.44233,                 0.2178,                0.88531,               0.000892,               0.000892,               0.000892
                     95,                 0.4529,                0.23344,                0.87767,                0.98565,                0.97735,                0.99083,                0.91077,                0.44168,                0.21701,                0.88486,               0.000793,               0.000793,               0.000793
                     96,                0.44985,                0.22978,                0.87757,                0.98564,                0.97785,                0.99088,                0.91094,                0.44116,                0.21645,                 0.8845,               0.000694,               0.000694,               0.000694
                     97,                0.44529,                0.22725,                0.87335,                0.98543,                0.97807,                0.99092,                 0.9118,                0.44079,                0.21579,                0.88443,               0.000595,               0.000595,               0.000595
                     98,                0.44236,                0.22357,                0.87341,                0.98572,                0.97777,                0.99096,                0.91198,                0.44016,                0.21512,                0.88406,               0.000496,               0.000496,               0.000496
                     99,                0.43929,                0.22249,                0.87178,                0.98567,                0.97778,                0.99098,                0.91244,                0.43965,                0.21459,                0.88372,               0.000397,               0.000397,               0.000397
                    100,                0.43539,                0.21912,                0.86819,                0.98583,                0.97764,                0.99102,                0.91272,                 0.4391,                0.21401,                0.88335,               0.000298,               0.000298,               0.000298
